command: java
args: -jar C:/Users/holli/OneDrive - SUNY ESF/Documents/PhD Research/R Programs/patRoon/patRoon-bundle-2.3.2/user/library/patRoonExt/ext/MetFragCommandLine.jar C:\Users\holli\AppData\Local\Temp\RtmpMXRhyz\parameters20981db6b59.txt

---

output:
14:35:18.994 INFO  de.ipbhalle.metfraglib.process.CombinedMetFragProcess - Got 5 candidate(s)
14:35:20.064 INFO  de.ipbhalle.metfraglib.process.ProcessingStatus - 20 %
14:35:20.074 INFO  de.ipbhalle.metfraglib.process.ProcessingStatus - 40 %
14:35:20.085 INFO  de.ipbhalle.metfraglib.process.ProcessingStatus - 60 %
14:35:20.095 INFO  de.ipbhalle.metfraglib.process.ProcessingStatus - 80 %
14:35:20.102 INFO  de.ipbhalle.metfraglib.process.ProcessingStatus - 100 %
14:35:20.816 INFO  de.ipbhalle.metfraglib.process.CombinedMetFragProcess - 0 candidate(s) were discarded before processing due to pre-filtering
14:35:20.816 INFO  de.ipbhalle.metfraglib.process.CombinedMetFragProcess - 0 candidate(s) discarded during processing due to errors
14:35:20.816 INFO  de.ipbhalle.metfraglib.process.CombinedMetFragProcess - 0 candidate(s) discarded after processing due to post-filtering
14:35:20.816 INFO  de.ipbhalle.metfraglib.process.CombinedMetFragProcess - Stored 5 candidate(s)


standard error output:

