command: java
args: -jar C:/Users/holli/OneDrive - SUNY ESF/Documents/PhD Research/R Programs/patRoon/patRoon-bundle-2.3.2/user/library/patRoonExt/ext/MetFragCommandLine.jar C:\Users\holli\AppData\Local\Temp\RtmpMXRhyz\parameters209836856a03.txt

---

output:
14:39:33.916 INFO  de.ipbhalle.metfraglib.process.CombinedMetFragProcess - Got 5 candidate(s)
14:39:35.529 INFO  de.ipbhalle.metfraglib.process.ProcessingStatus - 20 %
14:39:35.565 INFO  de.ipbhalle.metfraglib.process.ProcessingStatus - 40 %
14:39:35.575 INFO  de.ipbhalle.metfraglib.process.ProcessingStatus - 60 %
14:39:35.586 INFO  de.ipbhalle.metfraglib.process.ProcessingStatus - 80 %
14:39:35.596 INFO  de.ipbhalle.metfraglib.process.ProcessingStatus - 100 %
14:39:36.252 INFO  de.ipbhalle.metfraglib.process.CombinedMetFragProcess - 0 candidate(s) were discarded before processing due to pre-filtering
14:39:36.252 INFO  de.ipbhalle.metfraglib.process.CombinedMetFragProcess - 0 candidate(s) discarded during processing due to errors
14:39:36.252 INFO  de.ipbhalle.metfraglib.process.CombinedMetFragProcess - 0 candidate(s) discarded after processing due to post-filtering
14:39:36.252 INFO  de.ipbhalle.metfraglib.process.CombinedMetFragProcess - Stored 5 candidate(s)


standard error output:

